"RelativePath"                                                                , "Width", "Height", "Format"
"particles\beam_blue_04.dds"                                                  , "64"   , "128"   , "dds"
"particles\beam_cyan_03.dds"                                                  , "64"   , "128"   , "dds"
"particles\beam_data_01.dds"                                                  , "128"  , "128"   , "dds"
"particles\beam_disruptor.dds"                                                , "64"   , "64"    , "dds"
"particles\beam_exhaust_stream_blue_01.dds"                                   , "64"   , "128"   , "dds"
"particles\beam_exhaust_stream_green_01.dds"                                  , "64"   , "128"   , "dds"
"particles\beam_exhaust_stream_purple_01.dds"                                 , "64"   , "128"   , "dds"
"particles\beam_exhaust_stream_red_01.dds"                                    , "64"   , "128"   , "dds"
"particles\beam_green_01.dds"                                                 , "64"   , "128"   , "dds"
"particles\beam_green_02.dds"                                                 , "64"   , "128"   , "dds"
"particles\beam_missile_exhaust_01.dds"                                       , "64"   , "256"   , "dds"
"particles\beam_missile_exhaust_02.dds"                                       , "128"  , "128"   , "dds"
"particles\beam_missile_exhaust_03.dds"                                       , "64"   , "128"   , "dds"
"particles\beam_missile_exhaust_04.dds"                                       , "128"  , "128"   , "dds"
"particles\beam_phason_01.dds"                                                , "128"  , "128"   , "dds"
"particles\beam_red_01.dds"                                                   , "64"   , "128"   , "dds"
"particles\beam_red_02.dds"                                                   , "32"   , "128"   , "dds"
"particles\beam_red_03.dds"                                                   , "32"   , "64"    , "dds"
"particles\beam_red_04.dds"                                                   , "64"   , "512"   , "dds"
"particles\beam_red_05.dds"                                                   , "64"   , "512"   , "dds"
"particles\beam_red_06.dds"                                                   , "128"  , "1024"  , "dds"
"particles\beam_red_07.dds"                                                   , "32"   , "64"    , "dds"
"particles\beam_shell_01.dds"                                                 , "64"   , "64"    , "dds"
"particles\beam_uef_hiro_01.dds"                                              , "64"   , "128"   , "dds"
"particles\beam_uef_orbital_01.dds"                                           , "64"   , "128"   , "dds"
"particles\beam_ultrachrom_01.dds"                                            , "128"  , "128"   , "dds"
"particles\beam_white_01.dds"                                                 , "256"  , "256"   , "dds"
"particles\beam_white_02.dds"                                                 , "64"   , "64"    , "dds"
"particles\beam_white_03.dds"                                                 , "128"  , "128"   , "dds"
"particles\beam_white_04.dds"                                                 , "128"  , "128"   , "dds"
"particles\beam_white_05.dds"                                                 , "128"  , "128"   , "dds"
"particles\beam_white_06.dds"                                                 , "64"   , "64"    , "dds"
"particles\beam_white_07.dds"                                                 , "64"   , "64"    , "dds"
"particles\beam_yellow_01.dds"                                                , "64"   , "128"   , "dds"
"particles\beam_zapper_01.dds"                                                , "64"   , "512"   , "dds"
"particles\blast_cloud_01.dds"                                                , "256"  , "256"   , "dds"
"particles\blobs_01.dds"                                                      , "128"  , "128"   , "dds"
"particles\blurry_rectangle_add_01.dds"                                       , "64"   , "64"    , "dds"
"particles\bomb_blue_aeon_add_01.dds"                                         , "128"  , "128"   , "dds"
"particles\bubble_01.dds"                                                     , "128"  , "128"   , "dds"
"particles\bubble_02.dds"                                                     , "128"  , "128"   , "dds"
"particles\bubble_03.dds"                                                     , "128"  , "128"   , "dds"
"particles\build_laser_add_01.dds"                                            , "128"  , "128"   , "dds"
"particles\build_paint_spray_01.dds"                                          , "256"  , "64"    , "dds"
"particles\build_shield_01.dds"                                               , "128"  , "128"   , "dds"
"particles\circuitboard_01.dds"                                               , "128"  , "512"   , "dds"
